project title,tagline,description,ideas,technologies,topics,contributor_guidance,url
Society for Arts and Technology (SAT),Technological tools for creativity and industry,"The Society for Arts and Technology [SAT] is a non-profit organization recognized internationally for developing and creatively using immersive technologies, computer vision, embedded systems, and connectivity tools. Founded in 1996, its triple mission as a center for the arts, training and research, is to enable and host teleimmersive multisensorial experiences. SAT creates open-source tools for pose detection, orchestration, gestural control, interaction, tele-copresence, audio spatialization, haptic feedback, and immersive multisensory multimedia authoring.",https://sat-mtl.gitlab.io/collaborations/google-summer-of-code/categories/ideas/,"python, javascript, c++, qt, esp32","computer vision, graphics, multimedia, Telepresence, digital arts",https://sat-mtl.gitlab.io/collaborations/google-summer-of-code/posts/2025-share/,https://summerofcode.withgoogle.com/programs/2023/organizations/society-for-arts-and-technology-sat
GCP Scanner,Security scanning tool for Google Cloud,"GCP scanner is a tool that can help determine what level of access certain credentials possess on GCP. The scanner is designed to help security engineers with evaluating the impact of a certain VM/container compromise, GCP service account or OAuth2 token key leak by enumerating accessible GCP services. This can help to understand what an actual attacker had access to by compromising a certain identity.",https://github.com/google/gcp_scanner/wiki/Google-Summer-of-Code-2023#ideas-description,"python, google cloud","security, automation, scanning, google cloud",https://github.com/google/gcp_scanner/wiki/Google-Summer-of-Code-2023#application-guideline,https://summerofcode.withgoogle.com/programs/2023/organizations/gcp-scanner
FLARE,Industry leading malware analysis,"The Mandiant FLARE team is a collection of about 40 reverse engineers that analyze malware in support of threat intel, incident response, and computer forensic investigations. We spend our days using disassemblers, debuggers, decompilers, and emulators to figure out what malware does and how we can contain it. We’re known for delivering training sessions that share our experience and releasing open source software that automates the boring things. If you have even a passing interest in reverse engineering or malware analysis, reach out so that we can chat!",https://github.com/mandiant/flare-gsoc/blob/2025/doc/project-ideas.md,"python, ida-pro, Ghidra","emulation, disassembly, decompilation, malware-analysis, reverse-engineering",https://github.com/mandiant/flare-gsoc-2025/blob/main/doc/contributor-guidance.md,https://summerofcode.withgoogle.com/programs/2023/organizations/flare
MetaBrainz Foundation Inc,"Open music / book metadata, music recommendations","The MetaBrainz Foundation is a non-profit that believes in free, open access to data. It has been set up to build community maintained databases and make them available in the public domain or under Creative Commons licenses. Our data is mostly gathered by volunteers and verified by peer review to ensure it is consistent and correct. All non-commercial use of this data is free, but commercial users are asked to support us in order to help fund the project. We encourage all data users to contribute to the data gathering process so that our data can be as comprehensive as possible. With this data we are building a music social network and bias free music recommendations.",https://wiki.musicbrainz.org/Development/Summer_of_Code/2025,"python, machine learning, perl, postgres, spark","machine learning, open data, music, books, music social network",https://wiki.musicbrainz.org/Development/Summer_of_Code/2025,https://summerofcode.withgoogle.com/programs/2023/organizations/metabrainz-foundation-inc
SymPy,SymPy is a Python library for symbolic mathematics,SymPy is a Python library for symbolic mathematics. It aims to become a full-featured computer algebra system (CAS) while keeping the code as simple as possible in order to be comprehensible and easily extensible. SymPy is written entirely in Python.,https://github.com/sympy/sympy/wiki/GSoC-Ideas,"python, numpy, jupyter","mathematics, physics, symbolic mathematics",https://github.com/sympy/sympy/wiki/GSoC-Student-Instructions,https://summerofcode.withgoogle.com/programs/2023/organizations/sympy
Plone Foundation,"Python-based CMS, with React front-end.","Plone is a Python-based CMS built with workflow and security at the forefront. It is developed by a world-wide community and uses modern technologies and techniques. It comes with a complete API and a React-based frontend. Also home to Guillotina.io, a full stack data framework, and the Zope and ZODB object database.",https://plone.org/community/gsoc/2025,"python, javascript, react","web, cms",,https://summerofcode.withgoogle.com/programs/2023/organizations/plone-foundation
Wagtail,The powerful Python CMS for modern websites,"We build Wagtail, a popular content management system. It's built on Python, by an active and engaged open source community, which has grown rapidly since Wagtail's release in 2014. Wagtail is available in over 40 languages, and used by some of the world's best-known organizations, including NASA, Google, Mozilla, MIT, and the UK's National Health Service, as well as museums, universities, non-profits, governments, banks, studios, restaurants, startups and bloggers around the world.",https://github.com/wagtail/gsoc/blob/main/project-ideas.md,"python, javascript, django","web, accessibility, cms",https://wagtail.org/gsoc/,https://summerofcode.withgoogle.com/programs/2023/organizations/wagtail
UC OSPO,Amplifying Research Impact through Open Source,"The UCSC Open Source Program Office (OSPO) supports open source work throughout the University of California system. Beginning in 2022, we took over the programmatic responsibilities of the UCSC Center for Research in Open Source Software (CROSS), including mentorship activities such as GSoC. Following in line with the earlier work of CROSS, the OSPO creates partnerships with stakeholders within and outside the UC system in order to help students learn from open source communities, support scientists in using open source to accelerate research efforts, and connect students and scientists with sponsors from industry, government, and foundations. The OSPO helps bridge the gap between academic research and successful open source projects by promoting innovative projects maintained by UC-affiliated scientists and researchers. We support the transfer of cutting-edge technology resulting from UC-originating research to industry via successful open source projects. Due to the multi-campus nature of our current efforts, the projects we support and promote cover a wide range of topics and technologies - including: - Open Source Hardware and Chip Design - AI / Machine Learning - Storage Systems and Devices - Data Science and visualization - Performance analysis - Reproducibility - Cloud-based computation All of our mentors are scientists and researchers who are actively involved in one or more of these open source projects.",https://ucsc-ospo.github.io/osre25/#projects,"python, javascript, c/c++, machine learning, VLSI","education, bioinformatics, hardware, data science, AI/ML",https://ucsc-ospo.github.io/osre25/#forstudents,https://summerofcode.withgoogle.com/programs/2023/organizations/uc-ospo
Free and Open Source Silicon Foundation,Working together for Free and Open Source Silicon,"The FOSSi (Free and Open Source Silicon) Foundation is a not-for-profit organization with the support the growing community of open source silicon hardware. We do this with a variety of activities and through Google Summer of Code we bring together enthusiastic mentees and outstanding projects. Under our umbrella are open source silicon hardware projects, operating systems and compilers for such projects, tools for electronic design automation and the related ecosystem.",https://fossi-foundation.org/gsoc/gsoc25-ideas,"verilog, risc-v, compiler, web development","hardware, debug, web services, simulation, electronic design tools",https://www.fossi-foundation.org/gsoc,https://summerofcode.withgoogle.com/programs/2023/organizations/free-and-open-source-silicon-foundation
TARDIS RT Collaboration,Exploring supernovae made easy,"TARDIS is a tool that creates synthetic observations (spectra) for exploding stars (supernovae). A supernova marks the brilliant death throes of a star, during which it outshines its entire galaxy. Through their explosive stellar death, supernovae enrich the Universe with new elements necessary for the formation of planets and life as we know it. From the iron in your blood to the silicon in your laptop, supernovae are responsible for producing many important elements from the primordial hydrogen and helium left over from the Big Bang. TARDIS provides a link between theory and observations: by creating synthetic spectra from theoretical assumptions and comparing these to observations, we can both interpret data and test models for why, when and how supernova explosions occur. We, the community around TARDIS, are interested in combining astronomy, computer science, statistics and modern software design to build a tool that is useful both in research and teaching alike (with supporting documentation that would, in theory, allow anyone to recreate the project from scratch). Please join us on https://gitter.im/tardis-sn/gsoc.",https://tardis-sn.github.io/summer_of_code/ideas/,"python, numba, numpy, jupyter, pandas","visualization, big data, simulation, astrophysics",https://tardis-sn.github.io/summer_of_code/gsoc_home/,https://summerofcode.withgoogle.com/programs/2023/organizations/tardis-rt-collaboration
MDAnalysis,Analysis of molecular simulations data with Python,"MDAnalysis is a Python library for the analysis of computer simulations of many-body systems at the molecular scale, spanning use cases from interactions of drugs with proteins to novel materials. It is written by scientists for scientists and is used for cutting edge research in biophysics, chemistry, soft-matter physics, and materials research around the world in academia and national research labs. MDAnalysis strives to be highly interoperable and hence a growing number of projects use MDAnalysis as their foundational library or integrate it. The goal of MDAnalysis is to make it easy for users to analyze data that are produced by simulations (primarily molecular dynamics simulations) that run on some of the largest supercomputers in the world. MDAnalysis accomplishes this goal by providing a toolkit of programming building blocks that provide an abstract Python interface to the simulation data — agnostic of the specific simulation package that produced it — that lends itself to interactive data exploration and rapid prototyping but is also a robust foundational library that can form the basis for new computational tools. MDAnalysis allows one to read particle-based trajectories such as the ones produced by MD simulations or individual coordinate frames (such as biomolecules in the Protein Databank format) and access the atomic coordinates through NumPy arrays. Together with a powerful selection language and many implemented analysis algorithms, MDAnalysis provides a flexible and fast framework for complex analysis tasks. Welcoming documentation such as the User Guide https://userguide.mdanalysis.org/ make it easy to get started. New releases are downloaded a few thousand times and the academic papers describing MDAnalysis are cited more than almost two thousand times, indicating the widespread use in the academic community.",https://github.com/MDAnalysis/mdanalysis/wiki/GSoC-2025-Project-Ideas,"python, cython, c/c++","science, computational-chemistry, high-performance-computing, molecular-simulation, machine-learning",https://github.com/MDAnalysis/mdanalysis/wiki/Google-Summer-Of-Code,https://summerofcode.withgoogle.com/programs/2023/organizations/mdanalysis
Metasploit,World’s most used penetration testing framework,"The Metasploit Framework is both a penetration testing system and a development platform for creating security tools and exploits. The framework is used by network security professionals to perform penetration tests, system administrators to verify patch installations, product vendors to perform regression testing, and security researchers world-wide. The framework is written in the Ruby programming language and includes components written in C, many flavors of Assembly, Python, Powershell, PHP, and other languages. The framework consists of tools, libraries, modules, and user interfaces. The basic function of the framework is a module launcher, allowing the user to configure an exploit module and launch it at a target system. If the exploit succeeds, the payload is executed on the target and the user is provided with a shell to interact with the payload. Hundreds of exploits and dozens of payload options are available.",https://docs.metasploit.com/docs/development/google-summer-of-code/gsoc-2023-project-ideas.html,"c, python, postgresql, ruby, assembly","security, penetration testing, offensive security, exploitation",https://github.com/rapid7/metasploit-framework/wiki/How-to-Apply-to-GSoC,https://summerofcode.withgoogle.com/programs/2023/organizations/metasploit
FOSSology,Open Source License Compliance by OSS,"FOSSology is an open source license compliance software system and toolkit. As a toolkit you can run license, copyright and export control scans from the command line. As a system, a database and web UI are provided to give you a compliance workflow. License, copyright and export scanners are tools used in the workflow.",https://fossology.github.io/gsoc/docs/2025/GSoC-projects,"python, postgresql, c/c++, go, php","automation, spdx, license compliance, nlp, compliance automation",,https://summerofcode.withgoogle.com/programs/2023/organizations/fossology
Inkscape,Draw freely!,"Inkscape is a free and open-source vector graphics editor used to create vector images, primarily in Scalable Vector Graphics (SVG) format",https://gitlab.com/inkscape/inkscape/-/blob/master/doc/gsoc/summerofcode.md,"python, c++, svg","web, graphics, design",https://gitlab.com/inkscape/inkscape/-/blob/master/doc/gsoc/summerofcode.md,https://summerofcode.withgoogle.com/programs/2023/organizations/inkscape
GNU Project,Development of the GNU Operating System,"GNU is an operating system that is free software—that is, it respects users' freedom. The GNU operating system consists of GNU packages (programs specifically released by the GNU Project) as well as free software released by third parties. The development of GNU made it possible to use a computer without software that would trample your freedom. The GNU Project is the organization of maintainers and developers, webmasters, translators, and other contributors, that develop the more than 400 programs conforming the GNU OS.",https://www.gnu.org/software/soc-projects/ideas-2024.html,"c, c++, gcc, autotools","tools, toolchain, command line, OS, binary tools",https://www.gnu.org/software/soc-projects,https://summerofcode.withgoogle.com/programs/2023/organizations/gnu-project
NumFOCUS,NumFOCUS promotes open source scientific software.,"NumFOCUS supports and promotes world-class, innovative, open source scientific software. Most individual projects, even the wildly successful ones, find the overhead of a non-profit to be too large for their community to bear. NumFOCUS provides a critical service as an umbrella organization for this projects.",https://github.com/numfocus/gsoc/blob/master/2025/ideas-list.md,"python, c++, r, julia","data science, graphics, ai, scientific computing, numerical computation",https://github.com/numfocus/gsoc/blob/master/CONTRIBUTING-students.md,https://summerofcode.withgoogle.com/programs/2023/organizations/numfocus
checkstyle,Helps to adheres of Java coding standard,Checkstyle is a development tool to help programmers write Java code that is easy to read and adheres to a coding standard. Our utility automates the process of checking Java code to spare humans of this boring (but important) task. This makes it ideal for projects that want to enforce a coding standard. Each and every check also forces our users who are not familiar with these standards to read them and makes them think about why these standards exist.,https://github.com/checkstyle/checkstyle/wiki/Checkstyle-GSoC-2025-Project-Ideas,"java, antlr, artificial-intelligence","static code analysis, code review tool, coding standards, coding conventions, artificial-intelligence",https://github.com/checkstyle/checkstyle/blob/master/.github/GSOC.md,https://summerofcode.withgoogle.com/programs/2023/organizations/checkstyle
Jenkins,"Jenkins, build great things at any scale","Short description: Jenkins is a popular open source automation server which is used for building, testing, CI/CD, deployment and many other use-cases. Our motto is ""Build great things at any scale"". Long description: Jenkins, originally founded in 2006 as ""Hudson"", is one of the leading automation servers. Jenkins' motto is ""Build great things at any scale"". Using an extensible, plugin-based architecture, developers have created hundreds of plugins to adapt Jenkins to a multitude of build, test, and deployment automation workloads. As Jenkins is open-source, MIT License is used for most of the components. This year we invite potential GSoC contributors to join the Jenkins community and to work together to improve Jenkins. We have many strategic project ideas which are important to potentially hundreds of thousands of Jenkins users. The project has over 600 active contributors working on Jenkins core, plugins, website, project infrastructure, localization activities, etc. In total we have more than 2,000 components including plugins, libraries, and various utilities. The main languages in the project are Java, Groovy and JavaScript, but we also have components written in other languages (Go, C/C++, C#, etc.). Jenkins project includes multiple sub-projects (including Configuration-as-Code, Infrastructure and Remoting) and special interest groups. These entities participate in GSoC as a part of the Jenkins project. The Jenkins project is a part of Continuous Delivery Foundation (CDF).",https://www.jenkins.io/projects/gsoc/2025/project-ideas/,"javascript, java, go, docker, kubernetes","developer tools, automation, continuous integration, continuous delivery, devops",https://www.jenkins.io/projects/gsoc/contributors,https://summerofcode.withgoogle.com/programs/2023/organizations/jenkins-wp
MoveIt,Moving robots into the future,"MoveIt is the most widely used software for robotic manipulation and has been used on over 150 robots. It is released under the terms of the BSD license, and thus free for industrial, commercial, and research use. By incorporating the latest advances in motion planning, manipulation, 3D perception, kinematics, control and navigation, MoveIt is state of the art software for mobile manipulation.",https://moveit.ros.org/events/2024-google-summer-of-code/,"python, ros, c++, rust","robotics, motion planning, trajectory generation, kinematics",https://moveit.ros.org/events/2024-google-summer-of-code/#tips-for-writing-a-successful-google-summer-of-code-application-for-moveit,https://summerofcode.withgoogle.com/programs/2023/organizations/moveit
GRAME,Domain specific language for audio,"Faust (Functional Audio Stream) is a functional programming language for sound synthesis and audio processing with a strong focus on the design of synthesizers, musical instruments, audio effects, etc. Faust targets high-performance signal processing applications and audio plug-ins for a variety of platforms and standards.",https://github.com/grame-cncm/faustideas,"c, javascript, c++, rust, typescript","audio, compiler, digital signal processing, function programming language",https://github.com/grame-cncm/faustideas,https://summerofcode.withgoogle.com/programs/2023/organizations/grame
OpenStreetMap,Create and distribute free geodata for the world,"OpenStreetMap is a crowdsourcing project that creates and distributes free geographic data for the world. Our data is collected by hundreds of thousands of contributors around the globe and released with an open-content license. We allow free access not only to our map products, but all the underlying map data, which powers websites and apps used by billions of people worldwide. OSM data can be freely used in both open and closed source software, and has attracted many commercial users. Still, the success of OSM wouldn't be possible without open source software and volunteer developers. The database, website and API running on our own servers, the editing tools used by contributors to improve the map, and many of the most popular libraries and end-user applications within the OSM software ecosystem are all open source software, and developed through a community-driven process. As our Google Summer of Code participation spans this diverse set of software projects, most of which are maintained as independent efforts under the OSM umbrella, contributors will encounter a wide range of programming languages, paradigms and use cases. We hope that we have interesting challenges to offer for any developer, no matter their background!",https://wiki.openstreetmap.org/wiki/Google_Summer_of_Code/2025/Project_ideas,"python, javascript, java, c++, rust","databases, web, ui, geodata",https://wiki.openstreetmap.org/wiki/Google_Summer_of_Code/2025,https://summerofcode.withgoogle.com/programs/2023/organizations/openstreetmap
Ruby,Ruby is an object-oriented programming language,"The Ruby organization collects mentors and students working on the Ruby language (MRI), the Ruby packaging system (Bundler, RubyGems, and RubyGems.org), and other Ruby projects. Any Ruby OSS project is eligible to be included in the Ruby GSOC organization.",https://github.com/rubygsoc/rubygsoc/wiki/Ideas-List-(2024),"c, java, ruby on rails, ruby, rubygems","security, web, cloud, server, application",https://github.com/rubygsoc/rubygsoc/wiki/Getting-Involved,https://summerofcode.withgoogle.com/programs/2023/organizations/ruby
Purr Data,Realtime Audio/Visual Programming Environment,"Purr Data is a visual programming language with an emphasis on generating sound, video, 2D/3D graphics, and connecting through sensors, input devices, and MIDI as well as OSC devices. It has an HTML5 frontend. It also has realtime DSP backend written in C which can run natively or in the browser. Purr Data has a special emphasis on generating audio and/or video in real time, with low latency. Much of its design focuses on receiving, manipulating, and delivering high-quality audio signals. Specifically, the software addresses the problem of how to do this efficiently and reliably on general purpose operating systems like macOS, Windows, Debian, etc.-- i.e., systems designed mainly for multi-tasking. Purr Data can easily work over local and remote networks. It can be used to integrate wearable technology, motor systems, lighting rigs, and other equipment. Purr Data is also suitable for learning basic multimedia processing and visual programming methods, as well as for realizing complex systems for large-scale projects.",https://git.purrdata.net/jwilkes/summer-of-code-ideas-list,"c, javascript, html5, Emscripten","web, graphics, audio, realtime",https://git.purrdata.net/jwilkes/summer-of-code-ideas-list/-/blob/master/student_app.md,https://summerofcode.withgoogle.com/programs/2023/organizations/purr-data
Git,"Fast,Scalable,Distributed revision control system","Git is the most widely-used revision control system in Open Source. It is a distributed system with an emphasis on speed, data integrity, and support for distributed, non-linear workflows. Many large and successful projects use Git, including the Linux Kernel, Perl, Eclipse, Gnome, KDE, Qt, Ruby on Rails, Android, PostgreSQL, Debian, and X.org. This organization covers projects for Git itself. Other git-based software or services are not covered by this organization.",https://git.github.io/SoC-2025-Ideas/,"shell script, git, c language","version control, dvcs",https://git.github.io/General-Application-Information/,https://summerofcode.withgoogle.com/programs/2023/organizations/git
Keploy,"Unit, API test generation agent using AI & EBPF","An open-source simple e2e and unit test generation toolkit for developers. Keploy creates test cases, data mocks, stubs from API calls, DB queries, etc. TestGPT that actually works!",https://github.com/keploy/gsoc/tree/main/2025,"python, golang, node, ai, MERN","AI/ML, API Testing, Dev Tool, Functional Testing, AI Testing Agent",https://github.com/keploy/keploy/blob/main/CONTRIBUTING.md,https://summerofcode.withgoogle.com/programs/2023/organizations/keploy
CERN-HSF,Umbrella for Particle Physics-related projects,"CERN-HSF (High-Energy Physics Software Foundation) is the umbrella organization for high-energy physics-related projects in GSoC. The HEP Software Foundation (http://hepsoftwarefoundation.org/) facilitates the coordination of common international efforts in high-energy physics software and computing. CERN (European Organization for Nuclear Research, https://home.cern) has participated in GSoC since 2011 as the CERN-SFT group, which provides common software for CERN's experiments. In 2017, the program expanded to include many software projects from the whole field of high-energy physics. The vast majority of our GSoC projects do not require any physics knowledge. The experiments at CERN, such as the Large Hadron Collider, the world’s largest and most powerful particle accelerator (http://home.cern/topics/large-hadron-collider) try to answer fundamental questions about the Universe. For example, what is the nature of mass? What are the elementary building blocks of the Universe? What was the early Universe like? What is the nature of dark matter and dark energy? Why is there an asymmetry between matter and antimatter? In 2012, LHC experiments announced the discovery of a new particle, the Higgs Boson, that helps explain how particles obtain mass. Also, CERN is the birthplace of the World Wide Web. Today, particle physicists are working on analyzing the data from the experiments to study the properties of the newly discovered particle and to search for new physics, such as dark matter or extra dimensions. This requires a lot of sophisticated software. The open-source high-energy physics projects to which students can contribute during GSoC span many high-energy physics software projects: data analysis, detector and accelerator simulation, event reconstruction, data management and many others. We look forward to your contributions!",https://hepsoftwarefoundation.org/gsoc/2025/summary.html,"python, c/c++, data analysis, artificial intelligence, container orchestration","machine learning, big data, algorithmics, particle physics, Performance Optimisation",https://hepsoftwarefoundation.org/activities/gsoc.html#for-students,https://summerofcode.withgoogle.com/programs/2023/organizations/cern-hsf
Rizin,Rizin reverse engineering framework and toolset,"The Rizin project is a fork of the famous Radare2 project that started in 2006. Since then the codebase has been rewritten multiple times, modularized and extended to support many new features. The Rizin project aims to provide stability, focus on the most important features, and provide a user friendly interface. Along with Cutter - a Qt-based GUI and the RzGhidra decompiler it makes the effective tool for everyday reversing tasks. Rizin is composed of a hexadecimal editor at its core, with support for several architectures and binary formats. It features code analysis capabilities, scripting, data and code visualization through graphs and other means, a visual mode, easy UNIX integration, a binary diffing engine for code and data, a shellcode compiler, multi-platform debug with reverse debug capabilities and much, much more!",https://rizin.re/gsoc/2025/,"c, python, go, c++, qt","reverse engineering, computer security, debugging, emulation, disassembly",https://rizin.re/gsoc/2024,https://summerofcode.withgoogle.com/programs/2023/organizations/rizin
freifunk,Free and open wireless networks,"We unite wireless communities accross Europe like Freifunk, Ninux, qaul.net, Guifi.net, and Evernet e.G. Our communities either build decentralized wireless networks based on embedded networking hardware or extensively rely on FOSS components such as OpenWRT Linux, OLSR, BATMAN, Babel mesh routing daemons, libremesh, or retroshare applications. The contributions are made by individuals as well as local groups which are highly motivated to build open and free wireless networks providing Internet access to everybody. Moreover, we also create solutions that allow anonymous and secure communication. The majority of our networks devices are based on affordable, off-the-shelf WiFi home routers. The Freifunk operating system extends the OpenWrt Linux OS by new kernel and driver features, additional software packages that enable for instance multi-hop wireless mesh networking and new P2P communication features.",https://projects.freifunk.net/,"c, python, javascript, rust, openwrt","security, embedded systems, routing, wireless networks, federation",https://projects.freifunk.net/#/faq,https://summerofcode.withgoogle.com/programs/2023/organizations/freifunk
Drupal Association,The best open source digital experience platform,"The Drupal Association is the non-profit organization focused on accelerating Drupal, fostering the growth of the Drupal community, and supporting the project’s vision to create a safe, secure, and open web for everyone.",https://www.drupal.org/project/gsoc,"mysql, javascript, html, php, symfony","web, cloud, DXP, Massive community, Inclusive",https://www.drupal.org/community/contributor-guide/reference-information/google-summer-of-code/for-gsoc-students-where-to,https://summerofcode.withgoogle.com/programs/2023/organizations/drupal-association
Global Alliance for Genomics and Health,We develop genomics tools to benefit human health,"The Global Alliance for Genomics and Health (GA4GH) was formed to help accelerate the potential of genomic medicine to advance human health. It brings together over 400 leading genome institutes and centers with IT industry leaders to create global standards and tools for the secure, privacy respecting and interoperable sharing of Genomic data.",https://docs.google.com/document/d/1icSYbm4TTK_PVT6QfaCl5195AlRIM7CQPHr37cLC7bo/edit?usp=sharing,"python, postgresql, java, react, rust","security, genomics, bioinformatics, genetics, standards",https://docs.google.com/document/d/1Sje_91qcUMkRK9d_BS_8Y-c2r7cCa8h4Csy6d0-xKlQ/edit?usp=sharing,https://summerofcode.withgoogle.com/programs/2023/organizations/global-alliance-for-genomics-and-health
MIT App Inventor,Anyone can build apps with global impact,"MIT App Inventor is a free, open source web app that anyone can use to build mobile apps. It has been used by over 8 million people worldwide who have built more than 30 million apps. It is available in twelve different languages and used by people from ages 13 and up.",https://github.com/mit-cml/appinventor-sources/wiki/Google-Summer-of-Code-2025,"javascript, java, gwt, swift","education, development tools, android, ios",https://github.com/mit-cml/appinventor-sources/wiki/Google-Summer-of-Code-2025,https://summerofcode.withgoogle.com/programs/2023/organizations/mit-app-inventor
Carbon Language,An experimental successor to C++,Carbon is a successor language approach designed around interoperability with C++ as well as large-scale adoption and migration for existing C++ codebases and developers.,https://docs.google.com/document/d/1YK2oRPygX-CjWi_pyon1Cm_HMILabSgdYVQnEKuU_Yo/preview?resourcekey=0-onsIKYQJBBca3-JLYmuiUA#heading=h.wuysrzv8m78c,"llvm, c++, clang, Bison","programming languages, c++",https://docs.google.com/document/d/1Ly3tD58IE57h_xsoZ8wsL8y4Mp89fg8J8qLN8sCPZ5k/preview?resourcekey=0-CLlGUVSc7DMhLPTABpmjRQ,https://summerofcode.withgoogle.com/programs/2023/organizations/carbon-language
OpenAstronomy,Look at the Universe with the power of Open Source,"OpenAstronomy is a collaboration between open source astronomy, astrophysics & heliophysics projects that are used by researchers and software engineers around the world to study our universe either by analysing the data obtained from amazing instruments like the [James Webb Space telescope](https://jwst.nasa.gov/), the [Square Kilometer Array](https://www.skatelescope.org/) or the [Solar Dynamic Observatory](http://sdo.gsfc.nasa.gov/), developing very sophisticated numerical models (eg., [FLASH](http://flash.uchicago.edu/)) or designing interplanetary trajectories for human-made spacecraft. The analysis of such data helps multiple types of research, from being able to forecast solar storms to detecting planets in other stars, to understanding how galaxies are formed to explain the expansion and the origin of the universe. OpenAstronomy currently consists of [18 projects](https://openastronomy.org/members/) that develop tools, the range of which is wide. For example: - [Astropy](https://www.astropy.org/) is a general Python library for astronomy, providing common tools such as celestial coordinates, image processing, tabular data, reading and writing, units and support for astronomy-specific file formats; - [SunPy](https://sunpy.org/) provides utilities for obtaining and representing solar physics data, with access to the largest online solar physics data archives and solar specific analysis tools and visualisation code; - [Julia Astro](https://juliaastro.org/dev/index.html) is a set of packages for general astronomy and astrophysics analysis using Julia; - And more! As a single organisation, we strive to strengthen collaborations between each sub-organisation, and at the same time increase the awareness among our users on the capabilities of our ""sister"" projects. With the goal being unification of standards and libraries to enable true multidisciplinary research.",https://openastronomy.org/gsoc/gsoc2025/#/projects,"c, python, c++, julia","image processing, astronomy, data analysis, solar physics, high energy astrophysics",https://openastronomy.org/gsoc/student_guidelines.html,https://summerofcode.withgoogle.com/programs/2023/organizations/openastronomy
Ivy (lets-unify.ai),The Unified AI Framework,"At Ivy, we are on a mission to unify all ML Frameworks. Ivy makes it possible to add any function, library or model from any framework directly into any other framework, with one line of code. This opens a new era of ML, where all frameworks are totally interoperable, once and for all. We currently support for PyTorch, TensorFlow, Numpy and JAX.",https://docs.google.com/document/d/1M0pEPD77t-ACJTIF5wNMHpkVd9BAqo9DzY_PQ_m7BNs/edit?usp=sharing,"python, cython, tensorflow, pytorch, Jax","machine learning, artificial intelligence, computation graph, code conversion, unified API",https://unify.ai/docs/ivy/overview/contributing.html,https://summerofcode.withgoogle.com/programs/2023/organizations/ivy-lets-unifyai
BeagleBoard.org,Open hardware computing for educators and makers,"Enabling individuals to define the connected devices in their lives, BeagleBoard.org is the open-source, community-driven hardware precursor to Raspberry Pi, continuing to improve performance, access and openness for embedded development. The community is diverse with many professional developers utilizing the open source designs to build production solutions. Supported by a non-profit foundation, the community seeks to improve access to technology for making embedded devices using open source software and hardware. On-going developments include open designs around DSP/AI/ML accelerators, RISC-V cores, FPGA-based open hardware developement, software-defined radios, robotics/motor control, privacy-oriented personal servers, musical instruments, lighting displays, and open standards that simplify and clarify embedded systems technology.",https://bbb.io/gsocideas,"linux, fpga, risc-v, dsp, Zephyr RTOS","robotics, iot, ai, software defined radio, Personal Server",https://bbb.io/gsoc,https://summerofcode.withgoogle.com/programs/2023/organizations/beagleboardorg
Ceph,The Future of Storage,"An open-source storage platform that implements storage on a single distributed computer cluster and provides a 3-in-1 interface for object-, block- and file-level storage.",https://ceph.io/en/developers/google-summer-of-code/,"python, javascript, c++","distributed systems, Software-Defined-Storage",https://docs.ceph.com/en/latest/dev/developer_guide/,https://summerofcode.withgoogle.com/programs/2023/organizations/ceph
PostgreSQL,The Most Advanced Open Source Relational Database,"PostgreSQL is a powerful, open source object-relational database system with over 30 years of active development that has earned it a strong reputation for reliability, feature robustness, and performance.",https://wiki.postgresql.org/wiki/GSoC_2025,"c, python, postgresql, javascript, go","web, database, ui, sql, Benchmark",https://wiki.postgresql.org/wiki/GSoC,https://summerofcode.withgoogle.com/programs/2023/organizations/postgresql
GeomScale,Scalable geometric and statistical software,"GeomScale is a research and development project that delivers open source code for state-of-the-art algorithms for problems at the intersection of data science, optimization, geometric, and statistical computing. The current focus of GeomScale is on scalable algorithms for sampling from high-dimensional distributions, integration, convex optimization, and their applications. One of our ambitions is to fill the gap between theory and practice by turning state-of-the-art theoretical tools in geometry and optimization to state-of-the-art implementations. Towards this goal, we will deliver various innovative solutions in a variety of application fields, like finance, computational biology, and statistics that will extend the limits of contemporary computational tools. GeomScale aims in serving as a building block for an international, interdisciplinary, and open community in high dimensional geometrical and statistical computing. The main development is currently performed in volesti, a generic open source C++ library, with R and python interfaces (the latter is hosted in package dingo), for high-dimensional sampling, volume approximation, and copula estimation for financial modelling. In particular, the current implementation scales up to hundred or thousand dimensions, depending on the problem. To our knowledge it is the most efficient software package for sampling and volume computation to date. It is, in several cases, orders of magnitude faster compared to packages that solve the same problems. It can be used to compute challenging multivariate integrals and to approximate optimal solutions in optimization problems. It has already found important applications in systems biology by analyzing large metabolic networks (e.g., the latest human network) and in FinTech by detecting shock events and by evaluating portfolios performance in stock markets with thousands of assets. Other application areas include AI and in particular approximate weighted model integration. Recent studies has shown a potential application of volesti methods in trustworthy AI, static analysis of programs and differential privacy.",https://github.com/GeomScale/gsoc25/wiki/table-of-proposed-coding-projects,"python, c++, r, jupyter, github-actions","mathematics, data science, computational biology, computational geometry, statistics",https://github.com/GeomScale/gsoc25/wiki,https://summerofcode.withgoogle.com/programs/2023/organizations/geomscale
